threshold,n_flagged,tp,fp,expected_value,precision
0.5,13143,11843,1300,1974310.0,0.9010880316518298
0.51,13135,11839,1296,1973750.0,0.9013323182337267
0.52,13077,11816,1261,1970890.0000000005,0.9035711554637914
0.53,13056,11802,1254,1968720.0,0.9039522058823529
0.54,13036,11793,1243,1967520.0,0.9046486652347345
0.55,13011,11778,1233,1965270.0,0.9052340327415264
0.56,12983,11762,1221,1962910.0,0.9059539397673881
0.5700000000000001,12945,11743,1202,1960250.0,0.9071456160679799
0.58,12913,11724,1189,1957410.0,0.9079222488964609
0.59,12869,11703,1166,1954530.0,0.9093946693604786
0.6,12749,11632,1117,1943930.0,0.9123852851204016
0.61,12721,11614,1107,1941170.0,0.9129785394230013
0.62,12626,11548,1078,1930820.0,0.9146206241089815
0.63,12594,11529,1065,1927980.0,0.915435921867556
0.64,12522,11488,1034,1921940.0,0.9174253314167066
0.65,12495,11473,1022,1919750.0,0.9182072829131652
0.66,12439,11439,1000,1914630.0,0.9196076855052657
0.67,12398,11416,982,1911260.0000000005,0.9207936763994192
0.6799999999999999,12347,11383,964,1906190.0,0.9219243540941119
0.69,12311,11360,951,1902670.0,0.9227520103972058
0.7,12263,11326,937,1897310.0000000005,0.9235912908749898
0.71,12231,11305,926,1894070.0,0.9242907366527675
0.72,12200,11285,915,1891000.0,0.925
0.73,12123,11229,894,1882110.0,0.9262558772581044
0.74,12078,11194,884,1876460.0,0.926809074350058
0.75,12010,11150,860,1869700.0,0.9283930058284763
0.76,11953,11105,848,1862410.0,0.9290554672467163
0.77,11916,11079,837,1858320.0,0.9297583081570997
0.78,11855,11033,822,1850950.0,0.9306621678616618
0.79,11783,10976,807,1841710.0000000005,0.9315114996180939
0.8,11688,10901,787,1829560.0000000005,0.9326659822039699
0.81,11617,10837,780,1818890.0,0.9328570198846518
0.8200000000000001,11497,10736,761,1802290.0000000005,0.9338088196920936
0.8300000000000001,11361,10618,743,1782770.0,0.9346008273919549
0.8400000000000001,11232,10513,719,1765640.0,0.9359864672364673
0.8500000000000001,11043,10345,698,1737710.0,0.9367925382595309
0.86,10778,10125,653,1701660.0,0.939413620337725
0.87,10421,9803,618,1647970.0000000002,0.940696670185203
0.88,9996,9430,566,1586120.0,0.9433773509403761
0.89,9337,8851,486,1490090.0,0.9479490200278462
0.9,8767,8334,433,1403790.0000000002,0.9506102429565416
0.91,8345,7946,399,1338850.0,0.952186938286399
0.9199999999999999,7933,7570,363,1276010.0,0.9542417748644901
0.9299999999999999,7305,6991,314,1179050.0,0.957015742642026
0.94,6004,5767,237,973280.0,0.9605263157894737
0.95,4835,4651,184,785150.0,0.9619441571871769
0.96,3529,3406,123,575330.0,0.9651459336922641
0.97,1700,1654,46,279800.0,0.9729411764705882
0.98,205,201,4,34050.0,0.9804878048780488
0.99,74,73,1,12380.000000000002,0.9864864864864865
